# (F) stands for finished and (D) for duration:
process, i, MEAN, SD, CI lower limit, CI upper limit
D, process7, 71.69474493333333333333, 4.47399104061244131986, 69.50248932343323708660, 73.88700054323342958006
F, process8, 93.99692113333333333333, 8.66455304056136424908, 89.75129014345826485129, 98.24255212320840181537
D, process8, 91.99692113333333333333, 8.66455304056136424908, 87.75129014345826485129, 96.24255212320840181537
F, process9, 23.91900363333333333333, 2.03823149962174289052, 22.92027019851867931698, 24.91773706814798734968
D, process9, 20.91900363333333333333, 2.03823149962174289052, 19.92027019851867931698, 21.91773706814798734968
F, process10, 44.16702113333333333333, 8.99888903114883670187, 39.75756550807040334942, 48.57647675859626331724
D, process10, 42.46702056666666666666, 8.99888998075212490198, 38.05756447609812546469, 46.87647665723520786863
F, process11, 11.52246746666666666666, 21.85437227370479098281, .81382505255131908509, 22.23110988078201424823
D, process11, 9.02246746666666666666, 21.85437227370479098281, [1.68617494744868091491, 19.73110988078201424823
F, process12, 58.95803076666666666666, 2.49258419175843397539, 57.73666451270503401872, 60.17939702062829931460
D, process12, 54.95803076666666666666, 2.49258419175843397539, 53.73666451270503401872, 56.17939702062829931460
